"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57663952";"01";"2432718";"";"";"63752";"60";"STRICTO SENSU";"";"AULAS REMOTAS";"2020";"2";"2020/06/22 00:00:00.000";"2020/09/22 00:00:00.000";"3T456  3N12";"20";"30";"REGULAR";"false";"2020/12/12 21:48:24.956000000";"false";"";"70";"CONSOLIDADA";"";"Presencial"
"57663952";"01";"350504";"";"";"63752";"60";"STRICTO SENSU";"";"AULAS REMOTAS";"2020";"2";"2020/06/22 00:00:00.000";"2020/09/22 00:00:00.000";"3T456  3N12";"20";"30";"REGULAR";"false";"2020/12/12 21:48:24.956000000";"false";"";"70";"CONSOLIDADA";"";"Presencial"
"57663953";"01";"1678705";"";"";"63753";"60";"STRICTO SENSU";"";"AULAS REMOTAS";"2020";"2";"2020/06/22 00:00:00.000";"2020/09/22 00:00:00.000";"4T23456";"14";"20";"REGULAR";"false";"2021/05/17 10:02:34.105000000";"false";"";"75";"CONSOLIDADA";"";"Presencial"
"57663953";"01";"1410678";"";"";"63753";"60";"STRICTO SENSU";"";"AULAS REMOTAS";"2020";"2";"2020/06/22 00:00:00.000";"2020/09/22 00:00:00.000";"4T23456";"14";"20";"REGULAR";"false";"2021/05/17 10:02:34.105000000";"false";"";"75";"CONSOLIDADA";"";"Presencial"
"57663954";"01";"3061264";"";"";"63754";"60";"STRICTO SENSU";"";"AULAS REMOTAS";"2020";"2";"2020/06/22 00:00:00.000";"2020/09/22 00:00:00.000";"2T56  2N123";"11";"30";"REGULAR";"false";"2021/07/14 15:47:43.466000000";"false";"";"65";"CONSOLIDADA";"";"Presencial"
"57663954";"01";"";"13083";"";"63754";"60";"STRICTO SENSU";"";"AULAS REMOTAS";"2020";"2";"2020/06/22 00:00:00.000";"2020/09/22 00:00:00.000";"2T56  2N123";"11";"30";"REGULAR";"false";"2021/07/14 15:47:43.466000000";"false";"";"65";"CONSOLIDADA";"";"Presencial"
"57663955";"01";"3180158";"";"";"63810";"60";"STRICTO SENSU";"";"AULAS REMOTAS";"2020";"2";"2020/06/22 00:00:00.000";"2020/09/22 00:00:00.000";"5T23456";"5";"30";"REGULAR";"false";"2020/10/20 12:59:36.584000000";"false";"";"55";"CONSOLIDADA";"";"Presencial"
"57663955";"01";"1715135";"";"";"63810";"60";"STRICTO SENSU";"";"AULAS REMOTAS";"2020";"2";"2020/06/22 00:00:00.000";"2020/09/22 00:00:00.000";"5T23456";"5";"30";"REGULAR";"false";"2020/10/20 12:59:36.584000000";"false";"";"55";"CONSOLIDADA";"";"Presencial"
"57663975";"01";"6468813";"";"";"63780";"0";"LATO SENSU";"";"";"2020";"2";"2020/03/25 00:00:00.000";"2020/08/31 00:00:00.000";"";"0";"";"REGULAR";"true";"";"false";"";"";"EXCLUÍDA";"";"A Distância"
"57663975";"01";"8277481";"";"";"63780";"0";"LATO SENSU";"";"";"2020";"2";"2020/03/25 00:00:00.000";"2020/08/31 00:00:00.000";"";"0";"";"REGULAR";"true";"";"false";"";"";"EXCLUÍDA";"";"A Distância"
