"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"1195081";"01";"1321136";"";"";"51474";"20";"LATO SENSU";"";"LABORATORIO DE PSICOLOGIA";"2013";"1";"2013/01/25 00:00:00.000";"2013/01/27 00:00:00.000";"167M2345  67T3456";"";"40";"REGULAR";"false";"2014/08/11 16:37:31.889000000";"false";"";"0";"CONSOLIDADA";"";"Presencial"
"1196178";"01";"2222637";"";"";"50280";"20";"LATO SENSU";"";"Campus Universitário - Svf5";"2013";"1";"2013/02/04 00:00:00.000";"2013/02/08 00:00:00.000";"23456N1234";"";"71";"REGULAR";"false";"2013/06/19 10:39:05.948000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196210";"T01";"";"7267";"";"52540";"60";"TÉCNICO";"";"4F5";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"2M1";"";"40";"REGULAR";"false";"2013/07/04 00:39:55.613000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196211";"T02";"";"7571";"";"52540";"60";"TÉCNICO";"";"4C6";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"2M1";"";"40";"REGULAR";"false";"2013/07/04 14:54:29.232000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196212";"T03";"";"7707";"";"52540";"60";"TÉCNICO";"";"4F5";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"2T1";"7";"40";"REGULAR";"false";"2013/07/05 01:10:34.746000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196213";"T04";"";"7708";"";"52540";"60";"TÉCNICO";"";"4C6";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"2T1";"23";"40";"REGULAR";"false";"2013/07/04 15:55:08.455000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196214";"T05";"";"7489";"";"52540";"60";"TÉCNICO";"";"4F5";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"2N1";"4";"40";"REGULAR";"false";"2013/07/04 14:05:54.383000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196215";"T06";"";"7709";"";"52540";"60";"TÉCNICO";"";"4F5";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"3M1";"";"40";"REGULAR";"false";"2013/07/04 14:19:18.564000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196216";"T07";"";"7588";"";"52540";"60";"TÉCNICO";"";"4C6";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"3M1";"22";"40";"REGULAR";"false";"2013/07/03 17:28:01.776000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196217";"T08";"";"7490";"";"52540";"60";"TÉCNICO";"";"4F5";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"3T1";"9";"40";"REGULAR";"false";"2013/07/04 18:23:57.236000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196218";"T09";"";"7710";"";"52540";"60";"TÉCNICO";"";"4C6";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"3T1";"19";"40";"REGULAR";"false";"2013/07/04 23:31:34.231000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196219";"T10";"";"7503";"";"52540";"60";"TÉCNICO";"";"4F5";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"3N1";"";"40";"REGULAR";"false";"2013/07/03 20:37:30.762000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196220";"T11";"";"7537";"";"52540";"60";"TÉCNICO";"";"4F5";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"4M1";"11";"40";"REGULAR";"false";"2013/07/02 15:32:01.742000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196221";"T12";"";"7711";"";"52540";"60";"TÉCNICO";"";"4C6";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"4M1";"14";"40";"REGULAR";"false";"2013/07/04 12:40:47.556000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196222";"T13";"";"7499";"";"52540";"60";"TÉCNICO";"";"4F5";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"4T1";"";"40";"REGULAR";"false";"2013/07/03 23:40:26.779000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196223";"T14";"";"7712";"";"52540";"60";"TÉCNICO";"";"4F5";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"4N1";"11";"40";"REGULAR";"false";"2013/07/04 18:18:37.272000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196224";"T15";"";"7713";"";"52540";"60";"TÉCNICO";"";"3H4";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"4N1";"22";"40";"REGULAR";"false";"2013/07/03 11:15:14.300000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196225";"T16";"";"7714";"";"52540";"60";"TÉCNICO";"";"4F5";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"5M1";"21";"40";"REGULAR";"false";"2013/07/02 22:36:27.880000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196226";"T17";"";"7307";"";"52540";"60";"TÉCNICO";"";"4C6";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"5M1";"12";"40";"REGULAR";"false";"2013/07/04 13:03:42.245000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196227";"T18";"";"7715";"";"52540";"60";"TÉCNICO";"";"4F5";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"5T1";"17";"40";"REGULAR";"false";"2013/07/02 13:05:18.316000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196228";"T19";"";"7716";"";"52540";"60";"TÉCNICO";"";"4C6";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"5T1";"8";"40";"REGULAR";"false";"2013/07/05 08:58:28.041000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196229";"T20";"";"7587";"";"52540";"60";"TÉCNICO";"";"4F5";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"5N1";"14";"40";"REGULAR";"false";"2013/07/02 23:37:48.817000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196230";"T21";"";"7717";"";"52540";"60";"TÉCNICO";"";"3H4";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"5N1";"21";"40";"REGULAR";"false";"2013/07/03 17:37:22.341000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196231";"T22";"";"7500";"";"52540";"60";"TÉCNICO";"";"4F5";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"6M1";"";"40";"REGULAR";"false";"2013/07/03 17:30:48.591000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196232";"T23";"";"7718";"";"52540";"60";"TÉCNICO";"";"4C6";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"6M1";"27";"40";"REGULAR";"false";"2013/07/04 16:06:27.486000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196233";"T24";"";"7719";"";"52540";"60";"TÉCNICO";"";"4F5";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"6T1";"17";"40";"REGULAR";"false";"2013/07/05 00:10:56.732000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196234";"T25";"";"7720";"";"52540";"60";"TÉCNICO";"";"4C6";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"6T1";"7";"40";"REGULAR";"false";"2013/07/05 09:08:26.157000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196235";"T26";"";"7721";"";"52540";"60";"TÉCNICO";"";"3H4";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"6T1";"15";"40";"REGULAR";"false";"2013/07/04 18:11:31.566000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196236";"T27";"";"7722";"";"52540";"60";"TÉCNICO";"";"4F5";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"6N1";"";"40";"REGULAR";"false";"2013/07/01 12:23:27.833000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196237";"T28";"";"7485";"";"52540";"60";"TÉCNICO";"";"4F5";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"7M1";"";"40";"REGULAR";"false";"2013/07/02 10:52:11.235000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196238";"T29";"";"7723";"";"52540";"60";"TÉCNICO";"";"4C6";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"7M1";"";"40";"REGULAR";"false";"2013/07/04 21:14:56.435000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196239";"T30";"";"7483";"";"52540";"60";"TÉCNICO";"";"4C6";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"2N1";"1";"40";"REGULAR";"false";"2013/07/04 12:52:16.536000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196240";"T31";"";"7724";"";"52540";"60";"TÉCNICO";"";"4C6";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"3N1";"";"40";"REGULAR";"false";"2013/07/03 17:14:58.072000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196241";"T32";"";"7507";"";"52540";"60";"TÉCNICO";"";"4C6";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"4T1";"";"40";"REGULAR";"false";"2013/07/03 20:58:07.514000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196242";"T33";"";"7589";"";"52540";"60";"TÉCNICO";"";"4C6";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"4N1";"25";"40";"REGULAR";"false";"2013/07/03 21:26:50.515000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196243";"T34";"";"7725";"";"52540";"60";"TÉCNICO";"";"4C6";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"5N1";"12";"40";"REGULAR";"false";"2013/07/04 13:27:46.758000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196244";"T35";"";"7488";"";"52540";"60";"TÉCNICO";"";"4C6";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"6N1";"18";"40";"REGULAR";"false";"2013/07/04 09:43:02.844000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196245";"T36";"";"7726";"";"52540";"60";"TÉCNICO";"";"3H4";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"7M1";"";"40";"REGULAR";"false";"2013/07/02 22:59:46.132000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196246";"T40";"";"7727";"";"52540";"60";"TÉCNICO";"";"CENEP";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"2M1";"5";"40";"REGULAR";"false";"2013/07/03 18:23:19.929000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196247";"T41";"";"7573";"";"52540";"60";"TÉCNICO";"";"CENEP";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"2T1";"";"40";"REGULAR";"false";"2013/07/04 18:45:08.925000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196248";"T42";"";"7728";"";"52540";"60";"TÉCNICO";"";"CENEP";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"2N1";"3";"40";"REGULAR";"false";"2013/07/01 23:25:13.251000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196249";"T43";"";"7729";"";"52540";"60";"TÉCNICO";"";"CENEP";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"4T1";"3";"40";"REGULAR";"false";"2013/07/02 14:02:53.466000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196250";"T44";"";"7730";"";"52540";"60";"TÉCNICO";"";"CENEP";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"4N1";"3";"40";"REGULAR";"false";"2013/07/04 23:26:22.866000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196251";"T50";"";"7736";"";"52540";"60";"TÉCNICO";"";"Mossoró";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"2N1";"4";"40";"REGULAR";"false";"2013/07/04 19:23:04.334000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1196252";"T51";"";"7737";"";"52540";"60";"TÉCNICO";"";"Mossoró";"2013";"1";"2013/01/28 00:00:00.000";"2013/06/22 00:00:00.000";"3M1";"17";"40";"REGULAR";"false";"2013/07/04 20:37:08.729000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
