"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57666124";"01";"";"83036";"";"71820";"0";"LATO SENSU";"";"";"2021";"1";"2021/03/01 00:00:00.000";"2021/04/30 00:00:00.000";"";"";"";"REGULAR";"true";"2021/07/22 12:25:45.465000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57666124";"01";"2315340";"";"";"71820";"0";"LATO SENSU";"";"";"2021";"1";"2021/03/01 00:00:00.000";"2021/04/30 00:00:00.000";"";"";"";"REGULAR";"true";"2021/07/22 12:25:45.465000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57666125";"01";"";"82920";"";"71816";"0";"LATO SENSU";"";"";"2021";"1";"2021/03/01 00:00:00.000";"2021/04/30 00:00:00.000";"";"";"";"REGULAR";"true";"2021/07/05 10:02:09.127000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57666125";"01";"2178446";"";"";"71816";"0";"LATO SENSU";"";"";"2021";"1";"2021/03/01 00:00:00.000";"2021/04/30 00:00:00.000";"";"";"";"REGULAR";"true";"2021/07/05 10:02:09.127000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57666126";"01";"";"82919";"";"71935";"0";"LATO SENSU";"";"";"2021";"1";"2021/02/15 00:00:00.000";"2021/04/15 00:00:00.000";"";"0";"";"REGULAR";"true";"";"false";"";"";"EXCLUÍDA";"";"A Distância"
"57666375";"01";"1753441";"";"";"54404";"30";"STRICTO SENSU";"";"Oferta remota";"2021";"1";"2021/03/01 00:00:00.000";"2021/04/26 00:00:00.000";"2N1234";"0";"13";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57666376";"01";"";"81865";"";"54396";"15";"STRICTO SENSU";"";"Oferta remota";"2021";"1";"2021/03/02 00:00:00.000";"2021/05/04 00:00:00.000";"3N1234";"0";"13";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57666376";"01";"1149537";"";"";"54396";"15";"STRICTO SENSU";"";"Oferta remota";"2021";"1";"2021/03/02 00:00:00.000";"2021/05/04 00:00:00.000";"3N1234";"0";"13";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57666377";"01";"1753603";"";"";"67091";"15";"STRICTO SENSU";"";"Oferta remota";"2021";"1";"2021/05/05 00:00:00.000";"2021/06/30 00:00:00.000";"2N1234";"0";"13";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57666377";"01";"1298976";"";"";"67091";"15";"STRICTO SENSU";"";"Oferta remota";"2021";"1";"2021/05/05 00:00:00.000";"2021/06/30 00:00:00.000";"2N1234";"0";"13";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57666378";"01";"1167852";"";"";"67333";"15";"STRICTO SENSU";"";"Oferta remota";"2021";"1";"2021/05/04 00:00:00.000";"2021/06/30 00:00:00.000";"3N1234";"0";"13";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57666378";"01";"";"82592";"";"67333";"15";"STRICTO SENSU";"";"Oferta remota";"2021";"1";"2021/05/04 00:00:00.000";"2021/06/30 00:00:00.000";"3N1234";"0";"13";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57666379";"01";"2668551";"";"";"67092";"15";"STRICTO SENSU";"";"Oferta remota";"2021";"1";"2021/05/05 00:00:00.000";"2021/06/30 00:00:00.000";"4N1234";"0";"14";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57666379";"01";"1802050";"";"";"67092";"15";"STRICTO SENSU";"";"Oferta remota";"2021";"1";"2021/05/05 00:00:00.000";"2021/06/30 00:00:00.000";"4N1234";"0";"14";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57666400";"02";"1149537";"";"";"54396";"30";"STRICTO SENSU";"";"Oferta remota";"2021";"1";"2021/03/01 00:00:00.000";"2021/04/26 00:00:00.000";"3N1234";"14";"14";"REGULAR";"false";"2021/07/29 16:18:43.971000000";"false";"";"32";"CONSOLIDADA";"";"Presencial"
"57666401";"02";"1167852";"";"";"67333";"15";"STRICTO SENSU";"";"Oferta remota";"2021";"1";"2021/03/01 00:00:00.000";"2021/04/19 00:00:00.000";"2N1234";"13";"14";"REGULAR";"false";"2021/06/08 16:04:13.588000000";"false";"";"32";"CONSOLIDADA";"";"Presencial"
"57666401";"02";"";"82592";"";"67333";"15";"STRICTO SENSU";"";"Oferta remota";"2021";"1";"2021/03/01 00:00:00.000";"2021/04/19 00:00:00.000";"2N1234";"13";"14";"REGULAR";"false";"2021/06/08 16:04:13.588000000";"false";"";"32";"CONSOLIDADA";"";"Presencial"
"57666402";"01";"3490575";"";"";"54398";"30";"STRICTO SENSU";"";"Oferta remota";"2021";"1";"2021/05/05 00:00:00.000";"2021/06/30 00:00:00.000";"4N1234";"13";"14";"REGULAR";"false";"2021/09/15 21:37:27.578000000";"false";"";"36";"CONSOLIDADA";"";"Presencial"
"57666403";"01";"1164542";"";"";"54406";"30";"STRICTO SENSU";"";"Oferta remota";"2021";"1";"2021/05/04 00:00:00.000";"2021/06/22 00:00:00.000";"3N1234";"14";"14";"REGULAR";"false";"2021/09/03 10:46:06.800000000";"false";"";"32";"CONSOLIDADA";"";"Presencial"
"57666404";"01";"1298976";"";"";"54397";"15";"STRICTO SENSU";"";"Oferta remota";"2021";"1";"2021/05/10 00:00:00.000";"2021/06/28 00:00:00.000";"2N1234";"13";"14";"REGULAR";"false";"2021/06/30 11:33:10.282000000";"false";"";"32";"CONSOLIDADA";"";"Presencial"
"57666404";"01";"1753603";"";"";"54397";"15";"STRICTO SENSU";"";"Oferta remota";"2021";"1";"2021/05/10 00:00:00.000";"2021/06/28 00:00:00.000";"2N1234";"13";"14";"REGULAR";"false";"2021/06/30 11:33:10.282000000";"false";"";"32";"CONSOLIDADA";"";"Presencial"
"57669964";"01";"3229319";"";"";"73805";"0";"FORMAÇÃO COMPLEMENTAR";"";"";"2021";"1";"2021/01/04 00:00:00.000";"2021/01/22 00:00:00.000";"";"";"";"REGULAR";"true";"";"false";"";"";"ABERTA";"";"A Distância"
"57669964";"01";"";"7822";"";"73805";"0";"FORMAÇÃO COMPLEMENTAR";"";"";"2021";"1";"2021/01/04 00:00:00.000";"2021/01/22 00:00:00.000";"";"";"";"REGULAR";"true";"";"false";"";"";"ABERTA";"";"A Distância"
"57669964";"01";"";"72373";"";"73805";"0";"FORMAÇÃO COMPLEMENTAR";"";"";"2021";"1";"2021/01/04 00:00:00.000";"2021/01/22 00:00:00.000";"";"";"";"REGULAR";"true";"";"false";"";"";"ABERTA";"";"A Distância"
