"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57652624";"01";"7350849";"";"";"61158";"30";"TÉCNICO";"";"Sala 24";"2020";"1";"2020/02/17 00:00:00.000";"2020/07/04 00:00:00.000";"2T34 (17/02/2020 - 04/07/2020)";"0";"30";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57652625";"01";"7350849";"";"";"61159";"30";"TÉCNICO";"";"Sala 24";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/19 00:00:00.000";"2T34 (17/02/2020 - 17/03/2020),  2T34 (24/08/2020 - 12/12/2020),  2T34 (13/12/2020 - 19/12/2020)";"9";"30";"REGULAR";"false";"2020/12/19 10:10:54.832000000";"false";"";"14";"CONSOLIDADA";"";"Presencial"
"57652625";"01";"7350849";"";"";"61159";"30";"TÉCNICO";"";"Sala 24";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/19 00:00:00.000";"2T34 (17/02/2020 - 17/03/2020),  2T34 (24/08/2020 - 12/12/2020),  2T34 (13/12/2020 - 19/12/2020)";"9";"30";"REGULAR";"false";"2020/12/19 10:10:54.832000000";"false";"";"14";"CONSOLIDADA";"";"Presencial"
"57652626";"01";"1734630";"";"";"61154";"30";"TÉCNICO";"";"Sala 24";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/19 00:00:00.000";"4T34 (17/02/2020 - 17/03/2020),  4T34 (24/08/2020 - 12/12/2020),  4T34 (13/12/2020 - 19/12/2020)";"";"60";"REGULAR";"false";"2020/12/18 16:12:52.636000000";"false";"";"40";"CONSOLIDADA";"";"Presencial"
"57652627";"01";"2553739";"";"";"18729";"30";"TÉCNICO";"";"Sala 23";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"2T34 (17/02/2020 - 17/03/2020),  2T34 (24/08/2020 - 12/12/2020)";"10";"30";"REGULAR";"false";"2020/12/19 20:13:11.222000000";"false";"";"30";"CONSOLIDADA";"";"Presencial"
"57652627";"01";"2553739";"";"";"18729";"30";"TÉCNICO";"";"Sala 23";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"2T34 (17/02/2020 - 17/03/2020),  2T34 (24/08/2020 - 12/12/2020)";"10";"30";"REGULAR";"false";"2020/12/19 20:13:11.222000000";"false";"";"30";"CONSOLIDADA";"";"Presencial"
"57652628";"02";"2553739";"";"";"18729";"30";"TÉCNICO";"";"Sala 24";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"6T56 (17/02/2020 - 17/03/2020),  6T56 (24/08/2020 - 12/12/2020)";"7";"30";"REGULAR";"false";"2020/12/19 20:10:14.911000000";"false";"";"34";"CONSOLIDADA";"";"Presencial"
"57652629";"01";"1174208";"";"";"18654";"45";"TÉCNICO";"";"Sala E";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"3T345 (17/02/2020 - 17/03/2020),  3T345 (24/08/2020 - 12/12/2020)";"0";"3";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57652630";"01";"1279611";"";"Canto Erudito";"18732";"45";"TÉCNICO";"";"Sala 3";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"6T123 (17/02/2020 - 17/03/2020),  6T123 (24/08/2020 - 12/12/2020)";"2";"3";"REGULAR";"false";"2020/12/13 16:59:25.542000000";"false";"";"9";"CONSOLIDADA";"";"Presencial"
"57652631";"02";"1174208";"";"";"18732";"45";"TÉCNICO";"";"Sala 03";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"5T456 (17/02/2020 - 17/03/2020),  5T456 (24/08/2020 - 12/12/2020)";"1";"3";"REGULAR";"false";"2020/12/23 15:08:34.220000000";"false";"";"57";"CONSOLIDADA";"";"Presencial"
"57652632";"03";"1174208";"";"";"18732";"45";"TÉCNICO";"";"Sala E";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"4T123 (17/02/2020 - 17/03/2020),  4T123 (24/08/2020 - 12/12/2020)";"5";"3";"REGULAR";"false";"2020/12/23 15:01:04.929000000";"false";"";"57";"CONSOLIDADA";"";"Presencial"
"57652633";"04";"1812476";"";"";"18732";"30";"TÉCNICO";"";"Sala 13";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"3T456 (17/02/2020 - 17/03/2020),  3T456 (24/08/2020 - 12/12/2020)";"";"3";"REGULAR";"false";"2020/12/23 15:05:05.240000000";"false";"";"54";"CONSOLIDADA";"";"Presencial"
"57652633";"04";"1174208";"";"";"18732";"15";"TÉCNICO";"";"Sala 13";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"3T456 (17/02/2020 - 17/03/2020),  3T456 (24/08/2020 - 12/12/2020)";"";"3";"REGULAR";"false";"2020/12/23 15:05:05.240000000";"false";"";"54";"CONSOLIDADA";"";"Presencial"
"57652634";"05";"1812476";"";"";"18732";"45";"TÉCNICO";"";"Sala 13";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"3T123 (17/02/2020 - 17/03/2020),  3T123 (24/08/2020 - 12/12/2020)";"4";"3";"REGULAR";"false";"2020/12/23 08:49:43.278000000";"false";"";"0";"CONSOLIDADA";"";"Presencial"
"57652635";"06";"1812476";"";"";"18732";"45";"TÉCNICO";"";"3";"2020";"1";"2020/02/17 00:00:00.000";"2020/07/04 00:00:00.000";"5T123 (17/02/2020 - 04/07/2020)";"0";"3";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57652639";"01";"1149508";"";"Destinada para alunos de Processos Fonográficos.";"18818";"60";"TÉCNICO";"";"LaMuCo";"2020";"1";"2020/02/17 00:00:00.000";"2020/07/04 00:00:00.000";"3M3456 (17/02/2020 - 04/07/2020)";"0";"7";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57652640";"01";"3087032";"";"Destinado a alunos de Processos Fonográficos.";"18820";"75";"TÉCNICO";"";"ESTÚDIO";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"2T23456 (17/02/2020 - 17/03/2020),  2T23456 (24/08/2020 - 12/12/2020)";"";"7";"REGULAR";"false";"2020/12/15 13:28:08.489000000";"false";"";"85";"CONSOLIDADA";"";"Presencial"
"57652641";"01";"2566631";"";"Destinado a alunos de Processos Fonográficos.";"2055643";"30";"TÉCNICO";"";"ESTÚDIO";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"3T23456 (17/02/2020 - 17/03/2020),  3T23456 (24/08/2020 - 12/12/2020)";"8";"8";"REGULAR";"false";"2020/12/01 14:51:36.920000000";"false";"";"80";"CONSOLIDADA";"";"Presencial"
"57652641";"01";"3087032";"";"Destinado a alunos de Processos Fonográficos.";"2055643";"45";"TÉCNICO";"";"ESTÚDIO";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"3T23456 (17/02/2020 - 17/03/2020),  3T23456 (24/08/2020 - 12/12/2020)";"8";"8";"REGULAR";"false";"2020/12/01 14:51:36.920000000";"false";"";"80";"CONSOLIDADA";"";"Presencial"
"57652642";"01";"3087032";"";"Destinado a alunos do Curso: Processos Fonográficos.";"43327";"30";"TÉCNICO";"";"ESTÚDIO";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"5T12 (17/02/2020 - 17/03/2020),  5T12 (24/08/2020 - 12/12/2020)";"";"7";"REGULAR";"false";"2020/12/15 09:04:01.791000000";"false";"";"40";"CONSOLIDADA";"";"Presencial"
"57652643";"01";"3087032";"";"Destinado aos alunos do Curso: Processos Fonográficos.";"2055503";"60";"TÉCNICO";"";"ESTÚDIO";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"5T3456 (17/02/2020 - 17/03/2020),  5T3456 (24/08/2020 - 12/12/2020)";"0";"7";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57652646";"01";"277370";"";"";"18710";"45";"TÉCNICO";"";"Sala 22";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"5T123 (17/02/2020 - 17/03/2020),  5T123 (24/08/2020 - 12/12/2020)";"";"3";"REGULAR";"false";"2020/12/22 10:36:09.985000000";"false";"";"57";"CONSOLIDADA";"";"Presencial"
"57652647";"02";"1465669";"";"";"18710";"45";"TÉCNICO";"";"Sala 22";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"6T123 (17/02/2020 - 17/03/2020),  6T123 (24/08/2020 - 12/12/2020)";"1";"6";"REGULAR";"false";"2020/12/21 19:00:12.123000000";"false";"";"3";"CONSOLIDADA";"";"Presencial"
"57652648";"03";"277370";"";"";"18710";"45";"TÉCNICO";"";"Sala 22";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"5M456 (17/02/2020 - 17/03/2020), 5M456 (24/08/2020 - 12/12/2020)";"";"3";"REGULAR";"false";"2020/12/18 09:45:08.483000000";"false";"";"27";"CONSOLIDADA";"";"Presencial"
"57652649";"01";"1465669";"";"";"18712";"45";"TÉCNICO";"";"Sala 22";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"5T456 (17/02/2020 - 17/03/2020),  5T456 (24/08/2020 - 12/12/2020)";"6";"10";"REGULAR";"false";"2020/12/21 19:09:53.254000000";"false";"";"6";"CONSOLIDADA";"";"Presencial"
"57652650";"01";"1465669";"";"";"18766";"45";"TÉCNICO";"";"Sala 22";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"6T456 (17/02/2020 - 17/03/2020),  6T456 (24/08/2020 - 12/12/2020)";"4";"7";"REGULAR";"false";"2020/12/21 19:11:30.213000000";"false";"";"0";"CONSOLIDADA";"";"Presencial"
"57652651";"01";"1812476";"";"";"69289";"15";"TÉCNICO";"";"Sala 13";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"5T1 (17/02/2020 - 17/03/2020),  5T1 (24/08/2020 - 12/12/2020)";"0";"1";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57652652";"02";"1812476";"";"";"69289";"15";"TÉCNICO";"";"Sala 13";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"5T2 (17/02/2020 - 17/03/2020),  5T2 (24/08/2020 - 12/12/2020)";"0";"1";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57652653";"03";"1812476";"";"";"69289";"15";"TÉCNICO";"";"Sala 13";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"5T3 (17/02/2020 - 17/03/2020),  5T3 (24/08/2020 - 12/12/2020)";"0";"1";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57652654";"01";"1812476";"";"";"69291";"15";"TÉCNICO";"";"Sala 13";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"4T2 (17/02/2020 - 17/03/2020),  4T2 (24/08/2020 - 12/12/2020)";"0";"1";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57652655";"02";"1812476";"";"";"69291";"15";"TÉCNICO";"";"Sala 13";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"4T3 (17/02/2020 - 17/03/2020),  4T3 (24/08/2020 - 12/12/2020)";"0";"1";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57652656";"03";"1812476";"";"";"69291";"15";"TÉCNICO";"";"Sala 13";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"4T4 (17/02/2020 - 17/03/2020),  4T4 (24/08/2020 - 12/12/2020)";"0";"1";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57652657";"04";"1812476";"";"";"69291";"15";"TÉCNICO";"";"Sala 13";"2020";"1";"2020/02/17 00:00:00.000";"2020/07/04 00:00:00.000";"4T1 (17/02/2020 - 04/07/2020)";"0";"1";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57652659";"01";"1279611";"";"";"69258";"15";"TÉCNICO";"";"Sala 3";"2020";"1";"2020/02/17 00:00:00.000";"2020/12/12 00:00:00.000";"6T4 (24/08/2020 - 12/12/2020)";"";"1";"REGULAR";"false";"2020/12/13 16:52:37.449000000";"false";"";"15";"CONSOLIDADA";"";"Presencial"
