"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57602444";"01";"1971270";"";"";"63498";"15";"LATO SENSU";"";"Auditório do DEF e LabLUD do DEF da UFRN";"2017";"2";"2017/10/07 00:00:00.000";"2017/10/08 00:00:00.000";"17M2345  1T345 7T3456";"";"95";"REGULAR";"false";"2018/10/31 21:51:30.979000000";"false";"";"15";"CONSOLIDADA";"";"Presencial"
"57602445";"01";"";"82085";"";"63499";"14";"LATO SENSU";"";"Auditório do DEF e LabLUD do DEF da UFRN";"2017";"2";"2017/09/02 00:00:00.000";"2017/09/03 00:00:00.000";"17M2345  1T345 7T3456";"";"95";"REGULAR";"false";"2017/10/30 16:56:59.858000000";"false";"";"15";"CONSOLIDADA";"";"Presencial"
"57602445";"01";"1971270";"";"";"63499";"1";"LATO SENSU";"";"Auditório do DEF e LabLUD do DEF da UFRN";"2017";"2";"2017/09/02 00:00:00.000";"2017/09/03 00:00:00.000";"17M2345  1T345 7T3456";"";"95";"REGULAR";"false";"2017/10/30 16:56:59.858000000";"false";"";"15";"CONSOLIDADA";"";"Presencial"
"57602446";"01";"1659071";"";"";"63503";"15";"LATO SENSU";"";"Auditório do DEF da UFRN";"2017";"2";"2017/08/05 00:00:00.000";"2017/08/06 00:00:00.000";"17M2345  1T345 7T3456";"";"95";"REGULAR";"false";"2017/11/13 13:37:22.286000000";"false";"";"15";"CONSOLIDADA";"";"Presencial"
"57602447";"01";"1971270";"";"";"63327";"7";"LATO SENSU";"";"Auditório do DEF e Sala de danças do DAD da UFRN";"2017";"2";"2017/11/04 00:00:00.000";"2017/11/05 00:00:00.000";"17M2345  1T345 7T3456";"";"95";"REGULAR";"false";"2018/08/28 09:51:04.942000000";"false";"";"0";"CONSOLIDADA";"";"Presencial"
"57602447";"01";"1714249";"";"";"63327";"8";"LATO SENSU";"";"Auditório do DEF e Sala de danças do DAD da UFRN";"2017";"2";"2017/11/04 00:00:00.000";"2017/11/05 00:00:00.000";"17M2345  1T345 7T3456";"";"95";"REGULAR";"false";"2018/08/28 09:51:04.942000000";"false";"";"0";"CONSOLIDADA";"";"Presencial"
"57602448";"01";"1645961";"";"";"63320";"30";"LATO SENSU";"";"Auditório do DEF da UFRN";"2017";"2";"2017/12/02 00:00:00.000";"2017/12/10 00:00:00.000";"17M2345  1T345 7T3456";"";"95";"REGULAR";"false";"2018/06/12 23:02:29.694000000";"false";"";"30";"CONSOLIDADA";"";"Presencial"
"57602450";"01";"1971270";"";"";"63505";"1";"LATO SENSU";"";"Auditório do DEF da UFRN";"2017";"2";"2017/07/13 00:00:00.000";"2017/07/14 00:00:00.000";"6M2345  6T3456  5N1234 6N123";"";"90";"REGULAR";"false";"2017/10/30 17:32:07.659000000";"false";"";"15";"CONSOLIDADA";"";"Presencial"
"57602450";"01";"";"82386";"";"63505";"14";"LATO SENSU";"";"Auditório do DEF da UFRN";"2017";"2";"2017/07/13 00:00:00.000";"2017/07/14 00:00:00.000";"6M2345  6T3456  5N1234 6N123";"";"90";"REGULAR";"false";"2017/10/30 17:32:07.659000000";"false";"";"15";"CONSOLIDADA";"";"Presencial"
"57602451";"01";"";"82460";"";"63326";"14";"LATO SENSU";"";"Auditório do DEF e Sala de danças do DAD da UFRN";"2017";"2";"2017/07/15 00:00:00.000";"2017/07/16 00:00:00.000";"17M2345  1T345 7T3456";"";"95";"REGULAR";"false";"2017/10/30 17:28:01.129000000";"false";"";"15";"CONSOLIDADA";"";"Presencial"
